,observer,date,bird.id,lower.cam.id,upper.cam.id,tree.sp,n.fruits.init,n.fruits.final,fruit.location,n.trees.collected,time.fruit.added,time.first.consumed,time.last.consumed,time.fruit.removed,time.paper1.removed,time.paper2.removed,time.paper3.removed,pile.id,n.seeds.pile,time.pile,handling.method,notes,bird.sp,mid,gpt
22,jb,20160105,mafd3,ebl1,ebl2,guamia,10,8,marpi,1,1899-12-31 07:21:00,1899-12-31 07:23:00,1899-12-31 07:38:00,1899-12-31 07:38:00,NA,NA,NA,5,1,1899-12-31 08:02:00,passed,upper left corner /39.min,mafd,7.5,38.875
23,jb,20160105,mafd3,ebl1,ebl2,guamia,10,8,marpi,1,1899-12-31 07:21:00,1899-12-31 07:23:00,1899-12-31 07:38:00,1899-12-31 07:38:00,NA,NA,NA,1,1,1899-12-31 08:18:00,passed,ipper left corner/40.min,mafd,7.5,54.875
24,jb,20160106,mist3,ebl2,ebl1,guamia,7,6,marpi,1,1899-12-31 07:36:00,1899-12-31 07:55:00,1899-12-31 07:55:00,1899-12-31 08:10:00,NA,NA,NA,1,1,1899-12-31 08:09:00,passed,14.min,mist,0,14
25,jb,20160108,mist3,ebl2,ebl1,aglaia,12,3,marpi,1,1899-12-31 07:31:00,1899-12-31 07:35:00,1899-12-31 08:42:00,NA,NA,NA,NA,h,1,1899-12-31 07:53:00,regurgitated,18 min,mist,33.5,17.44166667
26,jb,20160108,mist3,ebl2,ebl1,aglaia,12,3,marpi,1,1899-12-31 07:31:00,1899-12-31 07:35:00,1899-12-31 08:42:00,NA,NA,NA,NA,m,1,1899-12-31 08:08:00,regurgitated,24 min,mist,33.5,32.44166667
27,jb,20160108,mist3,ebl2,ebl1,aglaia,12,3,marpi,1,1899-12-31 07:31:00,1899-12-31 07:35:00,1899-12-31 08:42:00,NA,NA,NA,NA,in bowl,1,1899-12-31 08:22:00,regurgitated,28 min,mist,33.5,46.44166667
28,jb,20160108,mist3,ebl2,ebl1,aglaia,12,3,marpi,1,1899-12-31 07:31:00,1899-12-31 07:35:00,1899-12-31 08:42:00,NA,NA,NA,NA,k,1,1899-12-31 08:27:00,regurgitated,28 min,mist,33.5,51.44166667
29,jb,20160108,mist3,ebl2,ebl1,aglaia,12,3,marpi,1,1899-12-31 07:31:00,1899-12-31 07:35:00,1899-12-31 08:42:00,NA,NA,NA,NA,c,1,1899-12-31 08:27:00,regurgitated,17 min (camera dies),mist,33.5,51.44166667
30,jb,20160108,mist3,ebl2,ebl1,aglaia,12,3,marpi,1,1899-12-31 07:31:00,1899-12-31 07:35:00,1899-12-31 08:42:00,NA,NA,NA,NA,h,1,1899-12-31 08:40:00,regurgitated,24 min (camera dies),mist,33.5,64.44166667
31,jb,20160108,mist3,ebl2,ebl1,aglaia,12,3,marpi,1,1899-12-31 07:31:00,1899-12-31 07:35:00,1899-12-31 08:42:00,NA,NA,NA,NA,in bowl,1,1899-12-31 08:45:00,regurgitated,19 min (camera dies),mist,33.5,69.44166667
32,jb,20160108,mist3,ebl2,ebl1,aglaia,12,3,marpi,1,1899-12-31 07:31:00,1899-12-31 07:35:00,1899-12-31 08:42:00,NA,NA,NA,NA,in bowl,1,1899-12-31 08:59:00,regurgitated,22 min (camera dies),mist,33.5,83.44166667
33,jb,20160108,mist3,ebl2,ebl1,aglaia,12,3,marpi,1,1899-12-31 07:31:00,1899-12-31 07:35:00,1899-12-31 08:42:00,NA,NA,NA,NA,in bowl,1,1899-12-31 09:03:00,regurgitated,21 min (camera dies),mist,33.5,87.44166667
43,jb,20160120,mist3,ebl2,ebl1,aglaia,3,1,marpi,1,1899-12-31 07:40:00,1899-12-31 07:43:00,1899-12-31 07:44:00,1899-12-31 07:45:00,NA,NA,NA,v,10,1899-12-31 07:56:00,regurgitated,"on marker V, visual observation",mist,0.5,12.99166667
43.1,jb,20160120,mist3,ebl2,ebl1,aglaia,3,1,marpi,1,1899-12-31 07:40:00,1899-12-31 07:43:00,1899-12-31 07:44:00,1899-12-31 07:45:00,NA,NA,NA,v,10,1899-12-31 07:56:00,regurgitated,"on marker V, visual observation",mist,0.5,12.99166667
43.2,jb,20160120,mist3,ebl2,ebl1,aglaia,3,1,marpi,1,1899-12-31 07:40:00,1899-12-31 07:43:00,1899-12-31 07:44:00,1899-12-31 07:45:00,NA,NA,NA,v,10,1899-12-31 07:56:00,regurgitated,"on marker V, visual observation",mist,0.5,12.99166667
43.3,jb,20160120,mist3,ebl2,ebl1,aglaia,3,1,marpi,1,1899-12-31 07:40:00,1899-12-31 07:43:00,1899-12-31 07:44:00,1899-12-31 07:45:00,NA,NA,NA,v,10,1899-12-31 07:56:00,regurgitated,"on marker V, visual observation",mist,0.5,12.99166667
43.4,jb,20160120,mist3,ebl2,ebl1,aglaia,3,1,marpi,1,1899-12-31 07:40:00,1899-12-31 07:43:00,1899-12-31 07:44:00,1899-12-31 07:45:00,NA,NA,NA,v,10,1899-12-31 07:56:00,regurgitated,"on marker V, visual observation",mist,0.5,12.99166667
43.5,jb,20160120,mist3,ebl2,ebl1,aglaia,3,1,marpi,1,1899-12-31 07:40:00,1899-12-31 07:43:00,1899-12-31 07:44:00,1899-12-31 07:45:00,NA,NA,NA,v,10,1899-12-31 07:56:00,regurgitated,"on marker V, visual observation",mist,0.5,12.99166667
43.6,jb,20160120,mist3,ebl2,ebl1,aglaia,3,1,marpi,1,1899-12-31 07:40:00,1899-12-31 07:43:00,1899-12-31 07:44:00,1899-12-31 07:45:00,NA,NA,NA,v,10,1899-12-31 07:56:00,regurgitated,"on marker V, visual observation",mist,0.5,12.99166667
43.7,jb,20160120,mist3,ebl2,ebl1,aglaia,3,1,marpi,1,1899-12-31 07:40:00,1899-12-31 07:43:00,1899-12-31 07:44:00,1899-12-31 07:45:00,NA,NA,NA,v,10,1899-12-31 07:56:00,regurgitated,"on marker V, visual observation",mist,0.5,12.99166667
43.8,jb,20160120,mist3,ebl2,ebl1,aglaia,3,1,marpi,1,1899-12-31 07:40:00,1899-12-31 07:43:00,1899-12-31 07:44:00,1899-12-31 07:45:00,NA,NA,NA,v,10,1899-12-31 07:56:00,regurgitated,"on marker V, visual observation",mist,0.5,12.99166667
43.9,jb,20160120,mist3,ebl2,ebl1,aglaia,3,1,marpi,1,1899-12-31 07:40:00,1899-12-31 07:43:00,1899-12-31 07:44:00,1899-12-31 07:45:00,NA,NA,NA,v,10,1899-12-31 07:56:00,regurgitated,"on marker V, visual observation",mist,0.5,12.99166667
44,jb,20160120,mist3,ebl2,ebl1,aglaia,3,1,marpi,1,1899-12-31 07:40:00,1899-12-31 07:43:00,1899-12-31 07:44:00,1899-12-31 07:45:00,NA,NA,NA,h,10,1899-12-31 07:57:00,regurgitated,both passed in 13.min ,mist,0.5,13.99166667
44.1,jb,20160120,mist3,ebl2,ebl1,aglaia,3,1,marpi,1,1899-12-31 07:40:00,1899-12-31 07:43:00,1899-12-31 07:44:00,1899-12-31 07:45:00,NA,NA,NA,h,10,1899-12-31 07:57:00,regurgitated,both passed in 13.min ,mist,0.5,13.99166667
44.2,jb,20160120,mist3,ebl2,ebl1,aglaia,3,1,marpi,1,1899-12-31 07:40:00,1899-12-31 07:43:00,1899-12-31 07:44:00,1899-12-31 07:45:00,NA,NA,NA,h,10,1899-12-31 07:57:00,regurgitated,both passed in 13.min ,mist,0.5,13.99166667
44.3,jb,20160120,mist3,ebl2,ebl1,aglaia,3,1,marpi,1,1899-12-31 07:40:00,1899-12-31 07:43:00,1899-12-31 07:44:00,1899-12-31 07:45:00,NA,NA,NA,h,10,1899-12-31 07:57:00,regurgitated,both passed in 13.min ,mist,0.5,13.99166667
44.4,jb,20160120,mist3,ebl2,ebl1,aglaia,3,1,marpi,1,1899-12-31 07:40:00,1899-12-31 07:43:00,1899-12-31 07:44:00,1899-12-31 07:45:00,NA,NA,NA,h,10,1899-12-31 07:57:00,regurgitated,both passed in 13.min ,mist,0.5,13.99166667
44.5,jb,20160120,mist3,ebl2,ebl1,aglaia,3,1,marpi,1,1899-12-31 07:40:00,1899-12-31 07:43:00,1899-12-31 07:44:00,1899-12-31 07:45:00,NA,NA,NA,h,10,1899-12-31 07:57:00,regurgitated,both passed in 13.min ,mist,0.5,13.99166667
44.6,jb,20160120,mist3,ebl2,ebl1,aglaia,3,1,marpi,1,1899-12-31 07:40:00,1899-12-31 07:43:00,1899-12-31 07:44:00,1899-12-31 07:45:00,NA,NA,NA,h,10,1899-12-31 07:57:00,regurgitated,both passed in 13.min ,mist,0.5,13.99166667
44.7,jb,20160120,mist3,ebl2,ebl1,aglaia,3,1,marpi,1,1899-12-31 07:40:00,1899-12-31 07:43:00,1899-12-31 07:44:00,1899-12-31 07:45:00,NA,NA,NA,h,10,1899-12-31 07:57:00,regurgitated,both passed in 13.min ,mist,0.5,13.99166667
44.8,jb,20160120,mist3,ebl2,ebl1,aglaia,3,1,marpi,1,1899-12-31 07:40:00,1899-12-31 07:43:00,1899-12-31 07:44:00,1899-12-31 07:45:00,NA,NA,NA,h,10,1899-12-31 07:57:00,regurgitated,both passed in 13.min ,mist,0.5,13.99166667
44.9,jb,20160120,mist3,ebl2,ebl1,aglaia,3,1,marpi,1,1899-12-31 07:40:00,1899-12-31 07:43:00,1899-12-31 07:44:00,1899-12-31 07:45:00,NA,NA,NA,h,10,1899-12-31 07:57:00,regurgitated,both passed in 13.min ,mist,0.5,13.99166667
45,jb,20160121,mist3,ebl2,ebl1,morinda,2 pieces = 9 seeds,0,marpi,1,1899-12-31 07:29:00,1899-12-31 07:31:00,1899-12-31 07:31:00,1899-12-31 07:33:00,NA,NA,NA,c,10,1899-12-31 08:03:00,passed,camera clock is incorrect 742 am =357 am time stamp. First seed passed after 32 minutes and final seed passed after 1 hour 25 min,mist,0,32
45.1,jb,20160121,mist3,ebl2,ebl1,morinda,2 pieces = 9 seeds,0,marpi,1,1899-12-31 07:29:00,1899-12-31 07:31:00,1899-12-31 07:31:00,1899-12-31 07:33:00,NA,NA,NA,c,10,1899-12-31 08:03:00,passed,camera clock is incorrect 742 am =357 am time stamp. First seed passed after 32 minutes and final seed passed after 1 hour 25 min,mist,0,32
45.2,jb,20160121,mist3,ebl2,ebl1,morinda,2 pieces = 9 seeds,0,marpi,1,1899-12-31 07:29:00,1899-12-31 07:31:00,1899-12-31 07:31:00,1899-12-31 07:33:00,NA,NA,NA,c,10,1899-12-31 08:03:00,passed,camera clock is incorrect 742 am =357 am time stamp. First seed passed after 32 minutes and final seed passed after 1 hour 25 min,mist,0,32
45.3,jb,20160121,mist3,ebl2,ebl1,morinda,2 pieces = 9 seeds,0,marpi,1,1899-12-31 07:29:00,1899-12-31 07:31:00,1899-12-31 07:31:00,1899-12-31 07:33:00,NA,NA,NA,c,10,1899-12-31 08:03:00,passed,camera clock is incorrect 742 am =357 am time stamp. First seed passed after 32 minutes and final seed passed after 1 hour 25 min,mist,0,32
45.4,jb,20160121,mist3,ebl2,ebl1,morinda,2 pieces = 9 seeds,0,marpi,1,1899-12-31 07:29:00,1899-12-31 07:31:00,1899-12-31 07:31:00,1899-12-31 07:33:00,NA,NA,NA,c,10,1899-12-31 08:03:00,passed,camera clock is incorrect 742 am =357 am time stamp. First seed passed after 32 minutes and final seed passed after 1 hour 25 min,mist,0,32
45.5,jb,20160121,mist3,ebl2,ebl1,morinda,2 pieces = 9 seeds,0,marpi,1,1899-12-31 07:29:00,1899-12-31 07:31:00,1899-12-31 07:31:00,1899-12-31 07:33:00,NA,NA,NA,c,10,1899-12-31 08:03:00,passed,camera clock is incorrect 742 am =357 am time stamp. First seed passed after 32 minutes and final seed passed after 1 hour 25 min,mist,0,32
45.6,jb,20160121,mist3,ebl2,ebl1,morinda,2 pieces = 9 seeds,0,marpi,1,1899-12-31 07:29:00,1899-12-31 07:31:00,1899-12-31 07:31:00,1899-12-31 07:33:00,NA,NA,NA,c,10,1899-12-31 08:03:00,passed,camera clock is incorrect 742 am =357 am time stamp. First seed passed after 32 minutes and final seed passed after 1 hour 25 min,mist,0,32
45.7,jb,20160121,mist3,ebl2,ebl1,morinda,2 pieces = 9 seeds,0,marpi,1,1899-12-31 07:29:00,1899-12-31 07:31:00,1899-12-31 07:31:00,1899-12-31 07:33:00,NA,NA,NA,c,10,1899-12-31 08:03:00,passed,camera clock is incorrect 742 am =357 am time stamp. First seed passed after 32 minutes and final seed passed after 1 hour 25 min,mist,0,32
45.8,jb,20160121,mist3,ebl2,ebl1,morinda,2 pieces = 9 seeds,0,marpi,1,1899-12-31 07:29:00,1899-12-31 07:31:00,1899-12-31 07:31:00,1899-12-31 07:33:00,NA,NA,NA,c,10,1899-12-31 08:03:00,passed,camera clock is incorrect 742 am =357 am time stamp. First seed passed after 32 minutes and final seed passed after 1 hour 25 min,mist,0,32
45.9,jb,20160121,mist3,ebl2,ebl1,morinda,2 pieces = 9 seeds,0,marpi,1,1899-12-31 07:29:00,1899-12-31 07:31:00,1899-12-31 07:31:00,1899-12-31 07:33:00,NA,NA,NA,c,10,1899-12-31 08:03:00,passed,camera clock is incorrect 742 am =357 am time stamp. First seed passed after 32 minutes and final seed passed after 1 hour 25 min,mist,0,32
46,jb,20160121,mist3,ebl2,ebl1,morinda,2 pieces = 9 seeds,1,marpi,2,1899-12-31 07:29:00,1899-12-31 07:31:00,1899-12-31 07:31:00,1899-12-31 07:33:00,NA,NA,NA,j,10,1899-12-31 08:05:00,passed,camera clock is incorrect 742 am =357 am time stamp. First seed passed after 32 minutes and final seed passed after 1 hour 25 min,mist,0,34
46.1,jb,20160121,mist3,ebl2,ebl1,morinda,2 pieces = 9 seeds,1,marpi,2,1899-12-31 07:29:00,1899-12-31 07:31:00,1899-12-31 07:31:00,1899-12-31 07:33:00,NA,NA,NA,j,10,1899-12-31 08:05:00,passed,camera clock is incorrect 742 am =357 am time stamp. First seed passed after 32 minutes and final seed passed after 1 hour 25 min,mist,0,34
46.2,jb,20160121,mist3,ebl2,ebl1,morinda,2 pieces = 9 seeds,1,marpi,2,1899-12-31 07:29:00,1899-12-31 07:31:00,1899-12-31 07:31:00,1899-12-31 07:33:00,NA,NA,NA,j,10,1899-12-31 08:05:00,passed,camera clock is incorrect 742 am =357 am time stamp. First seed passed after 32 minutes and final seed passed after 1 hour 25 min,mist,0,34
46.3,jb,20160121,mist3,ebl2,ebl1,morinda,2 pieces = 9 seeds,1,marpi,2,1899-12-31 07:29:00,1899-12-31 07:31:00,1899-12-31 07:31:00,1899-12-31 07:33:00,NA,NA,NA,j,10,1899-12-31 08:05:00,passed,camera clock is incorrect 742 am =357 am time stamp. First seed passed after 32 minutes and final seed passed after 1 hour 25 min,mist,0,34
46.4,jb,20160121,mist3,ebl2,ebl1,morinda,2 pieces = 9 seeds,1,marpi,2,1899-12-31 07:29:00,1899-12-31 07:31:00,1899-12-31 07:31:00,1899-12-31 07:33:00,NA,NA,NA,j,10,1899-12-31 08:05:00,passed,camera clock is incorrect 742 am =357 am time stamp. First seed passed after 32 minutes and final seed passed after 1 hour 25 min,mist,0,34
46.5,jb,20160121,mist3,ebl2,ebl1,morinda,2 pieces = 9 seeds,1,marpi,2,1899-12-31 07:29:00,1899-12-31 07:31:00,1899-12-31 07:31:00,1899-12-31 07:33:00,NA,NA,NA,j,10,1899-12-31 08:05:00,passed,camera clock is incorrect 742 am =357 am time stamp. First seed passed after 32 minutes and final seed passed after 1 hour 25 min,mist,0,34
46.6,jb,20160121,mist3,ebl2,ebl1,morinda,2 pieces = 9 seeds,1,marpi,2,1899-12-31 07:29:00,1899-12-31 07:31:00,1899-12-31 07:31:00,1899-12-31 07:33:00,NA,NA,NA,j,10,1899-12-31 08:05:00,passed,camera clock is incorrect 742 am =357 am time stamp. First seed passed after 32 minutes and final seed passed after 1 hour 25 min,mist,0,34
46.7,jb,20160121,mist3,ebl2,ebl1,morinda,2 pieces = 9 seeds,1,marpi,2,1899-12-31 07:29:00,1899-12-31 07:31:00,1899-12-31 07:31:00,1899-12-31 07:33:00,NA,NA,NA,j,10,1899-12-31 08:05:00,passed,camera clock is incorrect 742 am =357 am time stamp. First seed passed after 32 minutes and final seed passed after 1 hour 25 min,mist,0,34
46.8,jb,20160121,mist3,ebl2,ebl1,morinda,2 pieces = 9 seeds,1,marpi,2,1899-12-31 07:29:00,1899-12-31 07:31:00,1899-12-31 07:31:00,1899-12-31 07:33:00,NA,NA,NA,j,10,1899-12-31 08:05:00,passed,camera clock is incorrect 742 am =357 am time stamp. First seed passed after 32 minutes and final seed passed after 1 hour 25 min,mist,0,34
46.9,jb,20160121,mist3,ebl2,ebl1,morinda,2 pieces = 9 seeds,1,marpi,2,1899-12-31 07:29:00,1899-12-31 07:31:00,1899-12-31 07:31:00,1899-12-31 07:33:00,NA,NA,NA,j,10,1899-12-31 08:05:00,passed,camera clock is incorrect 742 am =357 am time stamp. First seed passed after 32 minutes and final seed passed after 1 hour 25 min,mist,0,34
47,jb,20160121,mist3,ebl2,ebl1,morinda,2 pieces = 9 seeds,2,marpi,3,1899-12-31 07:29:00,1899-12-31 07:31:00,1899-12-31 07:31:00,1899-12-31 07:33:00,NA,NA,NA,f,10,1899-12-31 08:15:00,passed,camera clock is incorrect 742 am =357 am time stamp. First seed passed after 32 minutes and final seed passed after 1 hour 25 min,mist,0,44
47.1,jb,20160121,mist3,ebl2,ebl1,morinda,2 pieces = 9 seeds,2,marpi,3,1899-12-31 07:29:00,1899-12-31 07:31:00,1899-12-31 07:31:00,1899-12-31 07:33:00,NA,NA,NA,f,10,1899-12-31 08:15:00,passed,camera clock is incorrect 742 am =357 am time stamp. First seed passed after 32 minutes and final seed passed after 1 hour 25 min,mist,0,44
47.2,jb,20160121,mist3,ebl2,ebl1,morinda,2 pieces = 9 seeds,2,marpi,3,1899-12-31 07:29:00,1899-12-31 07:31:00,1899-12-31 07:31:00,1899-12-31 07:33:00,NA,NA,NA,f,10,1899-12-31 08:15:00,passed,camera clock is incorrect 742 am =357 am time stamp. First seed passed after 32 minutes and final seed passed after 1 hour 25 min,mist,0,44
47.3,jb,20160121,mist3,ebl2,ebl1,morinda,2 pieces = 9 seeds,2,marpi,3,1899-12-31 07:29:00,1899-12-31 07:31:00,1899-12-31 07:31:00,1899-12-31 07:33:00,NA,NA,NA,f,10,1899-12-31 08:15:00,passed,camera clock is incorrect 742 am =357 am time stamp. First seed passed after 32 minutes and final seed passed after 1 hour 25 min,mist,0,44
47.4,jb,20160121,mist3,ebl2,ebl1,morinda,2 pieces = 9 seeds,2,marpi,3,1899-12-31 07:29:00,1899-12-31 07:31:00,1899-12-31 07:31:00,1899-12-31 07:33:00,NA,NA,NA,f,10,1899-12-31 08:15:00,passed,camera clock is incorrect 742 am =357 am time stamp. First seed passed after 32 minutes and final seed passed after 1 hour 25 min,mist,0,44
